Auction Date,Security,CUSIP,Tender Type,Tendered Amount,Accepted Amount
5/5/2003,13-Week Bill,912795NG2,Primary Dealer,30175000,10993500
5/5/2003,13-Week Bill,912795NG2,Direct Bidder,450000,55000
5/5/2003,13-Week Bill,912795NG2,Indirect Bidder,2149302,2089772
5/5/2003,13-Week Bill,912795NG2,Total Competitive,32774302,13138272
5/5/2003,26-Week Bill,912795NV9,Primary Dealer,27615000,11120405
5/5/2003,26-Week Bill,912795NV9,Direct Bidder,175000,75000
5/5/2003,26-Week Bill,912795NV9,Indirect Bidder,3262270,2562270
5/5/2003,26-Week Bill,912795NV9,Total Competitive,31052270,13757675
5/6/2003,3-Year Note,912828AY6,Primary Dealer,33595000,15708515
5/6/2003,3-Year Note,912828AY6,Direct Bidder,1975000,840000
5/6/2003,3-Year Note,912828AY6,Indirect Bidder,7325300,5177459
5/6/2003,3-Year Note,912828AY6,Total Competitive,42895300,21725974
5/6/2003,4-Week Bill,912795MQ1,Primary Dealer,20235500,5809596
5/6/2003,4-Week Bill,912795MQ1,Direct Bidder,900000,125000
5/6/2003,4-Week Bill,912795MQ1,Indirect Bidder,274000,21525
5/6/2003,4-Week Bill,912795MQ1,Total Competitive,21409500,5956121
5/7/2003,5-Day Bill,912795MZ1,Primary Dealer,36655000,10000160
5/7/2003,5-Day Bill,912795MZ1,Direct Bidder,0,0
5/7/2003,5-Day Bill,912795MZ1,Indirect Bidder,1750000,0
5/7/2003,5-Day Bill,912795MZ1,Total Competitive,38405000,10000160
5/7/2003,5-Year Note,912828AZ3,Primary Dealer,27992000,11908529
5/7/2003,5-Year Note,912828AZ3,Direct Bidder,710000,60000
5/7/2003,5-Year Note,912828AZ3,Indirect Bidder,8760300,5815273
5/7/2003,5-Year Note,912828AZ3,Total Competitive,37462300,17783802
5/8/2003,10-Year Note,912828BA7,Primary Dealer,17475000,13564933
5/8/2003,10-Year Note,912828BA7,Direct Bidder,83000,73000
5/8/2003,10-Year Note,912828BA7,Indirect Bidder,4199920,4193324
5/8/2003,10-Year Note,912828BA7,Total Competitive,21757920,17831257
5/12/2003,13-Week Bill,912795NH0,Primary Dealer,26890000,9350490
5/12/2003,13-Week Bill,912795NH0,Direct Bidder,225000,75000
5/12/2003,13-Week Bill,912795NH0,Indirect Bidder,3323861,2940933
5/12/2003,13-Week Bill,912795NH0,Total Competitive,30438861,12366423
5/12/2003,2-Day Bill,912795MM0,Primary Dealer,49720000,13501100
5/12/2003,2-Day Bill,912795MM0,Direct Bidder,0,0
5/12/2003,2-Day Bill,912795MM0,Indirect Bidder,4725000,1499030
5/12/2003,2-Day Bill,912795MM0,Total Competitive,54445000,15000130
5/12/2003,26-Week Bill,912795NW7,Primary Dealer,26660000,8815470
5/12/2003,26-Week Bill,912795NW7,Direct Bidder,133000,33000
5/12/2003,26-Week Bill,912795NW7,Indirect Bidder,4249880,4139880
5/12/2003,26-Week Bill,912795NW7,Total Competitive,31042880,12988350
5/13/2003,4-Week Bill,912795MR9,Primary Dealer,20023800,5417780
5/13/2003,4-Week Bill,912795MR9,Direct Bidder,757000,257000
5/13/2003,4-Week Bill,912795MR9,Indirect Bidder,682900,281015
5/13/2003,4-Week Bill,912795MR9,Total Competitive,21463700,5955795
5/20/2003,13-Week Bill,912795NJ6,Primary Dealer,30480000,11837535
5/20/2003,13-Week Bill,912795NJ6,Direct Bidder,285000,130033
5/20/2003,13-Week Bill,912795NJ6,Indirect Bidder,3170760,2491280
5/20/2003,13-Week Bill,912795NJ6,Total Competitive,33935760,14458848
5/20/2003,26-Week Bill,912795NX5,Primary Dealer,30786000,11488105
5/20/2003,26-Week Bill,912795NX5,Direct Bidder,105000,5000
5/20/2003,26-Week Bill,912795NX5,Indirect Bidder,3521551,3471551
5/20/2003,26-Week Bill,912795NX5,Total Competitive,34412551,14964656
5/20/2003,6-Day Bill,912795NA5,Primary Dealer,18495000,3800025
5/20/2003,6-Day Bill,912795NA5,Direct Bidder,0,0
5/20/2003,6-Day Bill,912795NA5,Indirect Bidder,1775000,200000
5/20/2003,6-Day Bill,912795NA5,Total Competitive,20270000,4000025
5/21/2003,4-Week Bill,912795MS7,Primary Dealer,33515000,20871750
5/21/2003,4-Week Bill,912795MS7,Direct Bidder,1100000,675000
5/21/2003,4-Week Bill,912795MS7,Indirect Bidder,403400,403400
5/21/2003,4-Week Bill,912795MS7,Total Competitive,35018400,21950150
5/27/2003,16-Day Bill,912795QF1,Primary Dealer,16855000,3925152
5/27/2003,16-Day Bill,912795QF1,Direct Bidder,0,0
5/27/2003,16-Day Bill,912795QF1,Indirect Bidder,975000,75000
5/27/2003,16-Day Bill,912795QF1,Total Competitive,17830000,4000152
5/28/2003,13-Week Bill,912795NK3,Primary Dealer,25072500,10189065
5/28/2003,13-Week Bill,912795NK3,Direct Bidder,200000,75000
5/28/2003,13-Week Bill,912795NK3,Indirect Bidder,4535759,3841334
5/28/2003,13-Week Bill,912795NK3,Total Competitive,29808259,14105399
5/28/2003,26-Week Bill,912795NY3,Primary Dealer,26336000,10243839
5/28/2003,26-Week Bill,912795NY3,Direct Bidder,1110000,15
5/28/2003,26-Week Bill,912795NY3,Indirect Bidder,4992964,3981000
5/28/2003,26-Week Bill,912795NY3,Total Competitive,32438964,14239839
5/28/2003,4-Week Bill,912795MT5,Primary Dealer,34310000,21623980
5/28/2003,4-Week Bill,912795MT5,Direct Bidder,3055000,2555000
5/28/2003,4-Week Bill,912795MT5,Indirect Bidder,1310961,772311
5/28/2003,4-Week Bill,912795MT5,Total Competitive,38675961,24951291
5/29/2003,2-Year Note,912828BB5,Primary Dealer,31260000,14720113
5/29/2003,2-Year Note,912828BB5,Direct Bidder,116000,66000
5/29/2003,2-Year Note,912828BB5,Indirect Bidder,12051010,9288250
5/29/2003,2-Year Note,912828BB5,Total Competitive,43427010,24074363
6/2/2003,13-Week Bill,912795NL1,Primary Dealer,31105000,11282690
6/2/2003,13-Week Bill,912795NL1,Direct Bidder,265000,115000
6/2/2003,13-Week Bill,912795NL1,Indirect Bidder,5783389,5026844
6/2/2003,13-Week Bill,912795NL1,Total Competitive,37153389,16424534
6/2/2003,2-Day Bill,912795MQ1,Primary Dealer,52470000,21600600
6/2/2003,2-Day Bill,912795MQ1,Direct Bidder,0,0
6/2/2003,2-Day Bill,912795MQ1,Indirect Bidder,4000000,2402000
6/2/2003,2-Day Bill,912795MQ1,Total Competitive,56470000,24002600
6/2/2003,26-Week Bill,912795NZ0,Primary Dealer,31590000,12126920
6/2/2003,26-Week Bill,912795NZ0,Direct Bidder,2053000,1307800
6/2/2003,26-Week Bill,912795NZ0,Indirect Bidder,3389027,3389027
6/2/2003,26-Week Bill,912795NZ0,Total Competitive,37032027,16823747
6/3/2003,4-Week Bill,912795NB3,Primary Dealer,37472500,16187820
6/3/2003,4-Week Bill,912795NB3,Direct Bidder,1125000,443610
6/3/2003,4-Week Bill,912795NB3,Indirect Bidder,1673000,1320310
6/3/2003,4-Week Bill,912795NB3,Total Competitive,40270500,17951740
6/4/2003,8-Day Bill,912795QF1,Primary Dealer,42825000,17500000
6/4/2003,8-Day Bill,912795QF1,Direct Bidder,0,0
6/4/2003,8-Day Bill,912795QF1,Indirect Bidder,9400000,500000
6/4/2003,8-Day Bill,912795QF1,Total Competitive,52225000,18000000
6/9/2003,13-Week Bill,912795NM9,Primary Dealer,30045000,13271920
